	boundEGFReceptorKnockdown	SosActiveKnockdown	RasActiveKnockdown	Raf1ActiveKnockdown	MekActiveKnockdown	ErkActiveKnockdown	P90RskActiveKnockdown	PI3KActiveKnockdown	AktActiveKnockdown	C3GActiveKnockdown	Rap1ActiveKnockdown	bRafActiveKnockdown
boundEGFReceptor	-0.6667365680517692	0.00012708544316776204	-1.00921707858941e-05	5.158603859281434e-05	-5.496041628874216e-06	0.00014012826984957928	-2.663297575492221e-06	-5.951819395331568e-06	1.8606851503836392e-05	-9.23787887484182e-06	0.0012461322449292035	-6.328328920462969e-06
SosActive	-0.5764714865992382	-0.6525143710480671	0.003878195316679289	0.0002527680835863069	0.08628382230996197	0.24343453187949077	0.5931204371636764	-0.00011542411064701579	-0.0007084377822560149	0.23658467843829795	0.08547550032190947	0.10506139130401398
RasActive	-0.5762028412292168	-0.6517724336029923	-0.20713875227850087	0.00022777370024050546	0.08614302916592864	0.24148195874114753	0.5918623058657099	-0.00011333532745615686	3.8687776548389994e-05	0.2361584612701235	0.08577897900776672	0.10490693173434393
Raf1Active	-0.587509615292248	-0.6605737978847295	-0.20915805374084426	-0.30969348577728073	0.08508231488100994	0.25272955135949104	0.5952167108430049	0.11916354778095146	0.22799400233760928	0.22829956437572232	0.08235228160290983	0.08738614440612892
MekActive	-0.6081436839678221	-0.12143716311605114	-0.04639202585884524	-0.002792649940663195	-0.6740313614725045	0.06919717586124742	0.21495244150211198	0.001350852261110337	0.0026202355660193536	-1.164928358235774	-0.6702553775107597	-0.7626680569944446
ErkActive	-0.2389403990477085	-0.037787569333621755	-0.01263079142152451	-0.0013904324943062598	-0.27310729812262813	-0.6495735760870605	0.0547695376066016	-0.0002030722920597458	0.00014804449504351313	-0.6398430812833985	-0.2708650576065221	-0.32582701893997157
P90RskActive	-0.0790465526404941	-0.011418770931376658	-0.004116933409353565	-0.0002621628443645619	-0.0923763078280071	-0.2608306734653415	-0.6464021650462021	0.00012354505279559038	0.00023018722845777895	-0.2546063793636715	-0.08928381265778344	-0.11255865022454992
PI3KActive	-0.003992019433567942	-0.000949447454840195	-0.0005039456529181869	0.00043168609028120994	0.0002034277090945666	0.005564930574493519	-0.000473011970342316	-0.6580622198357645	-0.0006285830841689986	-0.00023719364218804693	-0.0010616244953335979	-0.000637703836740105
AktActive	0.0008603461867727138	0.002338698089839862	0.004092218784235976	0.0011123241428157866	0.0017119712580388746	-0.04445551073039338	0.0003897935743053108	-0.3194183392098679	-0.6525648358500392	0.0031435787818096484	0.006662846074085354	0.0007395149841699872
C3GActive	-0.19561824813520648	2.1758251114732877e-05	-7.153999053315802e-07	-7.214096305202116e-06	-2.197408438629135e-06	-6.0292382650672885e-05	1.4257121964030874e-05	-2.7902211572414658e-06	5.509164111689496e-07	-0.6662600558746351	-2.2280769804315627e-06	-5.207093453240481e-07
Rap1Active	-0.1900479339185811	-5.694947061362622e-05	-1.1952052279421554e-05	-2.8783121747082236e-05	-8.7668639669268e-06	-0.00026938933971946987	5.7019061859871735e-05	-1.1115111586553893e-05	-8.880864973548766e-06	-0.6529394382221296	-0.2737844934827532	-1.1652240403057946e-05
bRafActive	-0.6094838473650452	-0.11747264104745483	-0.04547491595130023	9.532643966453484e-05	0.023623044517414062	0.06862709416774951	0.21499186612327814	0.0001360899674982414	1.8559107270316673e-05	-1.189112153124693	-0.6817948511603515	-0.7769520359552757
